"","participant_id","age","race","ethnicity","sex","education","covid"
"1","4000","36","0","0","0","7","0"
"2","4001","30","0","0","0","7","0"
"3","4002","52","0","0","0","7","1"
"4","4003","80","0","0","0","7","0"
"5","4004","70","0","0","0","7","0"
"6","4005","49","0","0","1","7","0"
"7","4006","40","0","0","0","5","0"
"8","4007","62","0","0","1","3","0"
"9","4008","56","0","0","0","5","1"
"10","4009","47","0","0","1","8","0"
"11","4010","72","1","0","1","7","0"
"12","4011","39","0","0","0","4","0"
"13","4012","67","0","0","0","2","1"
"14","4013","66","0","0","0","4","0"
"15","4014","31","0","0","0","8","1"
"16","4015","48","0","0","0","7","0"
"17","4016","34","5","0","0","4","0"
"18","4017","56","0","0","0","5","1"
"19","4018","39","0","0","0","5","0"
"20","4019","37","4","0","1","2","0"
"21","4020","65","2","0","0","4","0"
"22","4021","55","0","0","0","5","0"
"23","4022","38","0","0","0","7","1"
"24","4023","57","0+1+5","1","0","3","0"
"25","4024","30","0","0","0","4","0"
"26","4025","64","2","0","0","6","0"
"27","4027","32","5","0","0","5","0"
"28","4028","48","0","0","1","8","1"
"29","4029","46","0","0","0","3","1"
"30","4030","54","0","0","0","7","0"
"31","4031","75","0","0","0","2","1"
"32","4032","65","0","0","0","7","0"
"33","4033","56","0","0","0","5","1"
"34","4034","62","0","0","1","7","1"
"35","4035","36","0","0","0","3","1"
"36","4036","69","0","0","0","7","1"
"37","4037","35","0","0","0","5","1"
"38","4038","49","0","0","0","4","0"
"39","4039","75","0","0","0","3","0"
"40","4040","47","0","0","0","7","0"
"41","4041","77","0","0","0","3","1"
"42","4042","51","0","0","0","3","0"
"43","4043","34","0","0","0","3","1"
"44","4044","47","0","0","1","8","0"
"45","4046","53","0","0","1","5","0"
"46","4047","52","0","0","0","7","1"
"47","4048","48","0","0","0","7","1"
"48","4049","45","0","0","1","8","1"
"49","4050","66","0","0","1","6","1"
"50","4051","32","0","0","0","7","1"
"51","4052","36","0","0","0","7","1"
"52","4053","37","0","0","0","5","1"
"53","4054","51","0","0","1","4","1"
"54","4055","71","0","0","0","3","1"
"55","4056","41","2","0","1","8","1"
"56","4057","54","0","0","0","7","1"
"57","4058","71","0","0","1","5","0"
"58","4059","40","0","0","0","4","1"
"59","4060","59","0","0","0","5","1"
"60","4061","56","0","0","0","5","1"
"61","4062","42","1","0","1","5","0"
"62","4063","28","0+1+2+3","0","0","5","0"
"63","4064","30","2","0","1","5","0"
"64","4066","24","3","0","0","3","0"
"65","4067","32","0","1","1","5","1"
"66","4068","31","0","1","1","5","0"
"67","4070","50","1","0","1","5","0"
"68","4026","45","0","0","1",NA,NA
"69","4045","51","0","0","1",NA,NA
