"","participant_id","debrief_typical","debrief_events","strategies_yn","strategies_describe"
"1","4000","Neutral","No, nothing unusual or stressful happened","yes","One-syllable nicknames for shapes with whatever color they were. Depending on the activity, I would only try to remember one or two at a time."
"2","4001","Neutral","A problem someone else had+Current world events","yes","I said what i saw aloud as quickly as i could, trying to take note of at least 2 objects and colors"
"3","4002","Very Typical","No, nothing unusual or stressful happened","yes","naming the shapes as common household items"
"4","4003","Unusual","Other stressful experience","no",""
"5","4004","Very Typical","Caregiving for someone+A problem someone else had","yes","In my head I gave names to shapes. There was spool, Indiana, bridge, etc. "
"6","4005","Very Typical","No, nothing unusual or stressful happened","yes","Tried to remember two colors and corresponding shapes where possible."
"7","4006","Typical","No, nothing unusual or stressful happened","yes","made up names the different shapes and said them with the color to myself; the game with the shorter time interval fornahowing the shapes I would focus on one shape to remember; in the game with the longer interval I would focus on remembering two out of the three shape/color combos"
"8","4007","Typical","Health issue (yours)+Health issue (spouse/partner)+Heard bad or upsetting new+Current world events","yes","I attempted to remember the color of two shapes, priortizing the shapes (box first, arrow second, etc. If a shape wasn't available then the second prioritized shape became primary for that instance.)"
"9","4008","Typical","Other stressful experience","yes","focis on2 of 3 shaprs"
"10","4009","Very Typical","No, nothing unusual or stressful happened","yes","I recognized that you did not have to memorize all 3 colors and shapes; focusing on 2 was sufficient. Also, I identified shapes by simple names to remember them better. For example, I might remember the pattern by saying, ""black fangs, pink bowtie."""
"11","4010","Unusual","Health issue (yours)","no",""
"12","4011","Typical","Health issue (yours)","yes","quiet & try to remember at least ons shape  hard to explain i just ficused more"
"13","4012","Typical","No, nothing unusual or stressful happened","yes","look for pointy blocks and remember two colors"
"14","4013","Typical","Health issue (yours)","no",""
"15","4014","Typical","Heard bad or upsetting new+Other stressful experience","yes","shorthand in mind to identify the shapd"
"16","4015","Typical","Health issue (yours)+Health issue (spouse/partner)+Caregiving for someone+A problem someone else had+Heard bad or upsetting new+Current world events","yes","I would try to memorize at least 2 shapes/colors if I could to help better recall."
"17","4016","Very Typical","Negative social interaction(s)+A problem someone else had+Other stressful experience","yes","tried memorizing 2 shapes and colors "
"18","4017","Typical","Current world events","yes","association- but had trouble concentrating - easily distracted"
"19","4018","Very Typical","No, nothing unusual or stressful happened","no",""
"20","4019","Neutral","No, nothing unusual or stressful happened","no",""
"21","4020","Very Unusual","No, nothing unusual or stressful happened","yes","tried to remembrr 2 colord"
"22","4021","Very Typical","No, nothing unusual or stressful happened","yes","i tried to only concentrate on two colors /shapes and i said them out loud if the timer was slower"
"23","4022","Typical","No, nothing unusual or stressful happened","yes","I gave the shapes names like space ship, arrow, 7, house, and said the colors for at least 2 of them"
"24","4023","Neutral","Health issue (yours)+Heard bad or upsetting news","yes","tried not to be stressed out"
"25","4024","Unusual","Health issue (yours)+Other stressful experience","yes","created one word descriptors for each shape and memorized the color and nickname for two of the three objects before the first screen disappeared."
"26","4025","Typical","Other stressful experience","yes","focused on 1 or 2 figures instead of all 3"
"27","4026","Very Typical","No, nothing unusual or stressful happened","yes","color patterns stayed the same and only had to remember one for some games"
"28","4027","Very Typical","Other stressful experience","no",""
"29","4029","Typical","Health issue (yours)+A problem someone else had+Other stressful experience","yes","remembering objects from largest to smallest with their corresponding colors"
"30","4030","Unusual","A problem someone else had","yes","pick two out on the to remember, pick triangle shapes as easiest to remember"
"31","4031","","","",""
"32","4032","Very Typical","No, nothing unusual or stressful happened","yes","Tried to focus on just two figures when it was moving quickly, also tried to focus on rectangles and greater than symbol since they were uique and not similar to other figures."
"33","4033","Typical","No, nothing unusual or stressful happened","no",""
"34","4034","Neutral","No, nothing unusual or stressful happened","yes","focused on esdy to find shapes"
